,,Source: data.va.gov,,,
Categorization,Source,Dataset / Table Name,API Path,operationId,Description / Summary
Demographics,NVS,VetPop2023 - National Level Estimates,/resource/y4w4-egzx.json,getNationalVetPop,Get VetPop2023 National Estimates by Sex and Age Groups 2000 to 2023
Demographics,NVS,VetPop2023 - State Level Estimates (placeholder),/resource/abcd-1234.json,getStateVetPop,Get state-level VetPop2023 data (fake dataset ID)
Benefits & Claims,VBA,VBA Claims and Benefits Usage Data,/resource/vba-claims.json,getVbaClaimsData,Get VBA claims and benefits usage data
Healthcare,VHA,VHA Health Capacity and Utilization,/resource/vha-health-capacity.json,getVhaHealthCapacity,Get VHA health system capacity and utilization data
Benefits & Claims,VBA,VA Pension Recipients and Payments 2024,/resource/sdqc-bme7.json,getPensionRecipients2024,"Get VBA Pension Recipients by POS and Residence 2024
"
Benefits & Claims,VBA,VA Pension Expenditures 2024,/resource/sbtk-kfnm.json,getPensionExpenditures2024,Get Veteran Pension Expenditures By State of Residence and Age Group FY 2024
Benefits & Claims,VBA,VA Compensation Expenditures 2024,/resource/ibas-uwj3.json,getCompensationExpenditures2024,Get Veteran Compensation Expenditures By State of Residence and Age Group FY 2024
Demographics,NVS,VA Projected Vetearn Deaths by County FY2024-2075,/resource/5wjp-xu42.json,getProjectedDeathsByCounty,"Get VetPop2023 Projected Deaths by County, FY2024-2075"
Healthcare,VHA,VHA Medical Procedure Counts FY24,/resource/by9q-2564.json,getProcedureCountsFY24,FY24 counts of VA medical procedures by facility and procedure code
Healthcare,VHA,Unique VHA Patients By Procedure FY24,/resource/dsfz-cgk8.json,getUniquePatientsByProcedureFY24,Unique patient counts by location for VA healthcare encounters
Demographics,NVS,VetPop2023 Urban Rural by Period of Service FY2023–2025,/resource/7nvj-jpf6.json,getUrbanRuralByServiceFY23_25,"Urban/rural designation and period of service, based on VetPop2023 and 2023 ACS data"
Demographics,NVS,VetPop2023 Urban/Rural by Poverty & Disability FY2023–2025,/resource/25yj-z44z.json,getUrbanRuralPovertyDisabilityFY23_25,VetPop2023 and the most recent national survey estimates from the 2023 American Community Survey 1-Year (ACS) data
Demographics,NVS,VetPop2023 Projected Urban/Rural FY2023–2025,/resource/rcxd-k8v8.json,getUrbanRuralProjectionsFY23_25,"Projected Veteran population by urban/rural status, sex, and age group for FY2023–2025"
Demographics,NVS,"VetPop2020-2050 Projections by Sex, Period of Service",/resource/cbt6-e4ja.json,getVetPop2020BySexAndService,Get VetPop2020 estimates by sex and period of service (FY2020–2050)
Demographics,NVS,VetPop2020-2050 Projections by Sex and Race/Ethnicity,/resource/9ia3-eizs.json,getVetPop2020BySexAndRace,Get VetPop2020 estimates by sex and race/ethnicity (FY2020–2050)
Demographics,NVS,VetPop2020 Estimates of Women,/resource/3ypd-vvhe.json,getVetPop2020Women,Get VetPop2020 estimates of women Veterans (FY2000–2023)
Benefits & Claims,VBA,Veterans Receiving Compensation Service Benefits by Period of Service and Residence (FY22–FY24),/resource/y326-jukp.json,getCompensationByPeriodAndLocation,Get counts of Veterans receiving compensation benefits by period of service and residence (FY22–FY24)
Infrastructure,VHA,PAI Data Set for Maps Story 1 of 3,/resource/cg9c-gfgn.json,getFacilityGeoCrosswalk,Crosswalk of VA facilities with ZIP codes and geographic coordinates (2018) for mapping
Infrastructure,VHA,PAI Data Set for Maps Story 2 of 3,/resource/pxwu-u522.json,getPhase2ExamZipCodes,ZIP codes where VA facilities could perform benefits exams during Phase 2
Infrastructure,VHA,PAI Data Set for Maps Story 3 of 3,/resource/4h2b-2rwm.json,getPhase3ExamZipCodes,ZIP codes where VA facilities could perform benefits exams during Phase 3 (as of Oct 2020)
Identity & Records,OIT/DoD,eMIS Military Service API,Not publicly available,getMilitaryServiceRecord,Internal VA system for accessing verified veteran military service data. Used by authorized VA staff to coordinate records with DoD via DEERS and other systems. Not part of public open data or API ecosystem.
Healthcare,VHA,VA Diagnosis FY24,/resource/ik8k-3hpf.json,getDiagnosisFY24,"Diagnoses recorded during VA-paid outpatient, inpatient, or Community Care in FY24. Excludes Non-VA Care and Unknown."
Healthcare,VHA,VA Diagnosis FY23,/resource/vxex-2fsu.json,getDiagnosisFY23,"Diagnoses recorded during VA-paid outpatient, inpatient, or Community Care in FY23. Excludes Non-VA Care and Unknown."
Workforce & Survey,VHA,All Employee Survey (AES) 2023–2024,/resource/hevq-e649.json,getAllEmployeeSurvey,"Provides VA All Employee Survey scores from 2023 & 2024, at the station and occupation level."
Workforce & Survey,VHA,AES 2024 PRDF,/resource/gvvi-qbx9.json,getAes2024Prdf,2024 VA All Employee Survey (AES) de-identified individual-level public dataset (as of Jan 2025)
Workforce & Survey,VHA,AES 2024 FEVS Percents,/resource/rdpw-mtbs.json,getAes2024FevsPercents,"VA AES items also on the Federal Employee Viewpoint Survey, reported as percentages per statute"
Workforce & Survey,VHA,All Employee Survey (AES) 2022 - 2023,/resource/mqnc-hghc.json,getAes2022_2023,"VA AES data from the 2022 and 2023 surveys, with scores at station and occupation levels."
Infrastructure,VHA,VA Facility Details API,/services/va_facilities/v0/facilities/{facility_id},getFacilityDetailsById,Retrieve detailed information for a specific VA facility by its unique facility ID using VA Facilities API.
Equity & Disparity,OHE,VA-OHE National Veteran Health Equity Report (NVHER),/resource/mg53-aau5.json,getHealthEquityReport,"Comparative rates of health conditions and healthcare access/utilization for vulnerable Veteran groups, supporting VA's Office of Health Equity monitoring and improvement efforts."
Healthcare,VHA,Opioid Prescribing Rates at VA Facilities 2012–2018,/resource/dwpj-hgp7.json,getOpioidPrescribingRates,"Opioid prescribing rates by VA facility from 2012 to 2018, supporting transparency in VA pain management and opioid safety efforts."
Demographics,NVS,Key Indicators for Veteran Signals VHA Outpatient Survey,/resource/4zsp-2xku.json,getVSignalsOutpatientKeyIndicators,"Key indicators from the Veteran Signals VHA Outpatient Survey measuring patient experience and satisfaction. Updated as of July 29, 2021."
Demographics,NVS,"Number of Women Who Served and Casualty Counts by Wartime Period, 1898 to 2015",/resource/v3hi-h8y3.json,getWomenServedCasualtiesByWar,"Count of women who served and associated casualty counts by wartime period from 1898 to 2015. Last updated August 12, 2020."
Equity & Disparity,OHE,VA-OHE-NVHER-FY13-Sociodemographic-Race/Ethnicity,/resource/kieg-d5az.json,getNvherSociodemographicsByRaceFY13,"Summary-level data from the National Veteran Health Equity Report (FY2013), filtered by race and ethnicity. Last updated July 19, 2021."
Equity & Disparity,OHE,VA-OHE-NVHER-FY13-Sociodemographic-Sex,/resource/4z3a-2qz2.json,getNvherSociodemographicsBySexFY13,"Summary-level data from the National Veteran Health Equity Report (FY2013), filtered by sex. Last updated July 19, 2021."
Equity & Disparity,OHE,VA-OHE-NVHER-FY13-Sociodemographic-Age,/resource/7g63-fxp3.json,getNvherSociodemographicsByAgeFY13,"Summary-level data from the National Veteran Health Equity Report (FY2013), filtered by age group. Last updated July 19, 2021."
Equity & Disparity,OHE,VA-OHE-NVHER-FY13-Sociodemographic-Geography,/resource/c3qm-38dv.json,getNvherSociodemographicsByGeographyFY13,"Summary-level data from the National Veteran Health Equity Report (FY2013), filtered by geography. Last updated July 19, 2021."
Equity & Disparity,OHE,VA-OHE-NVHER-FY13-Sociodemographic-Mental-Illness,/resource/rtmm-hjaz.json,getNvherSociodemographicsByMentalIllnessFY13,"Summary-level data from the National Veteran Health Equity Report (FY2013), filtered by mental illness. Last updated July 19, 2021."
Equity & Disparity,OHE,VA-OHE-NVHER-FY13-Diagnoses-Race/Ethnicity,/resource/j3tk-xaw5.json,getNvherDiagnosesByRaceEthnicityFY13,"A subset of the FY13 National Veteran Health Equity Report, filtered by race/ethnicity. Provides comparative health condition rates among vulnerable Veteran groups. Last updated July 19, 2021."
Equity & Disparity,OHE,VA-OHE-NVHER-FY13-Diagnoses-Sex,/resource/mjp6-ik6p.json,getNvherDiagnosesBySexFY13,"A subset of the FY13 National Veteran Health Equity Report, filtered by sex. Provides comparative rates of diagnosed health conditions among vulnerable Veteran groups. Last updated July 19, 2021."
Equity & Disparity,OHE,VA-OHE-NVHER-FY13-Diagnoses-Geography,/resource/4aqx-2ch4.json,getNvherDiagnosesByGeographyFY13,"A subset of the FY13 National Veteran Health Equity Report, filtered by geography. Provides comparative rates of diagnosed health conditions among vulnerable Veteran groups. Last updated July 19, 2021."
Equity & Disparity,OHE,VA-OHE-NVHER,/resource/mg53-aau5.json,getNvherSummary,"National Veteran Health Equity Report summary data providing comparative sociodemographics, utilization, and diagnosis rates across vulnerable Veteran groups. Supports monitoring and improvement of equitable care delivery. Last updated July 19, 2021."
